Layer_index,Shape,Weight Size,Input Size,Output Size,f_read,f_write,f_flops,f_peakmem,b_read,b_write,b_flops,b_peakmem
13,"BatchNorm2d(144, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1152,1806336,1806336,19267776,19267584,144506880,277901984.0,19267776,19267584,144506880,491666080.0
14,"Conv2d(144, 144, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=144, bias=False)",5184,1806336,1806336,19281408,115605504,260112384,277901984.0,28904736.0,9637152.0,260112384,491666080.0
15,"BatchNorm2d(144, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1152,1806336,1806336,9637152.0,9633792.0,144506880,277901984.0,115619328,19267584,144506880,491666080.0
16,"Conv2d(144, 24, kernel_size=(1, 1), stride=(1, 1), bias=False)",13824,1806336,301056,115606656,115605504,693633024,277901984.0,115606656,115605504,693633024,491666080.0
17,"BatchNorm2d(24, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",192,301056,301056,115610688,115605504,24084480,277901984.0,115610688,115605504,24084480,491666080.0
18,"Conv2d(24, 144, kernel_size=(1, 1), stride=(1, 1), bias=False)",13824,301056,1806336,115606656,115605504,733372416,335704736.0,115606656,115605504,693633024,491666080.0
19,"BatchNorm2d(144, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1152,1806336,1806336,115619328,19267584,144506880,335704736.0,19281408,115605504,144506880,491794080.0
20,"Conv2d(144, 144, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=144, bias=False)",5184,1806336,451584,19267776,19267584,65028096,335704736.0,19267776,19267584,65028096,491794080.0
21,"BatchNorm2d(144, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1152,451584,451584,19281408,115605504,36126720,335704736.0,28904736.0,9637152.0,36126720,491794080.0
22,"Conv2d(144, 32, kernel_size=(1, 1), stride=(1, 1), bias=False)",18432,451584,100352,9637152.0,9633792.0,231211008,335704736.0,115619328,19267584,231211008,491794080.0
23,"BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",256,100352,100352,115606656,115605504,8028160,335704736.0,115606656,115605504,8028160,491794080.0
24,"Conv2d(32, 192, kernel_size=(1, 1), stride=(1, 1), bias=False)",24576,100352,602112,115610688,28901376,324739072,354972320.0,28906560,115605504,308281344,491794080.0
25,"BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1536,602112,602112,28902528,28901376,48168960,354972320.0,28902528,28901376,48168960,491922080.0
26,"Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=192, bias=False)",6912,602112,602112,28919808,6422528,86704128,354972320.0,6440960,28901376,86704128,491922080.0
27,"BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1536,602112,602112,6422784,6422528,48168960,354972320.0,6422784,6422528,48168960,491922080.0
28,"Conv2d(192, 32, kernel_size=(1, 1), stride=(1, 1), bias=False)",24576,602112,100352,6447104,38535168,308281344,354972320.0,9639296.0,3216768.0,308281344,491922080.0
29,"BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",256,100352,100352,3216768.0,3211264.0,8028160,354972320.0,38559744,6422528,8028160,491922080.0
30,"Conv2d(32, 192, kernel_size=(1, 1), stride=(1, 1), bias=False)",24576,100352,602112,38536704,38535168,324739072,374239904.0,38536704,38535168,308281344,491922080.0
31,"BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1536,602112,602112,38542080,38535168,48168960,374239904.0,38542080,38535168,48168960,492050080.0
32,"Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=192, bias=False)",6912,602112,602112,38536704,38535168,86704128,374239904.0,38536704,38535168,86704128,492050080.0
33,"BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1536,602112,602112,38559744,6422528,48168960,374239904.0,6447104,38535168,48168960,492050080.0
34,"Conv2d(192, 32, kernel_size=(1, 1), stride=(1, 1), bias=False)",24576,602112,100352,6422784,6422528,308281344,374239904.0,6422784,6422528,308281344,492050080.0
35,"BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",256,100352,100352,6447104,38535168,8028160,374239904.0,9639296.0,3216768.0,8028160,492050080.0
36,"Conv2d(32, 192, kernel_size=(1, 1), stride=(1, 1), bias=False)",24576,100352,602112,3216768.0,3211264.0,324739072,393507488.0,38559744,6422528,308281344,492050080.0
37,"BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1536,602112,602112,38536704,38535168,48168960,393507488.0,38536704,38535168,48168960,492178080.0
38,"Conv2d(192, 192, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=192, bias=False)",6912,602112,150528,38542080,38535168,21676032,393507488.0,38542080,38535168,21676032,492178080.0
39,"BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1536,150528,150528,38536704,38535168,12042240,393507488.0,38536704,38535168,12042240,492178080.0
40,"Conv2d(192, 64, kernel_size=(1, 1), stride=(1, 1), bias=False)",49152,150528,50176,38559744,6422528,154140672,393507488.0,6447104,38535168,154140672,492178080.0
41,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",512,50176,50176,6422784,6422528,4014080,393507488.0,6422784,6422528,4014080,492178080.0
42,"Conv2d(64, 384, kernel_size=(1, 1), stride=(1, 1), bias=False)",98304,50176,301056,6447104,38535168,322932736,403141280.0,9639296.0,3216768.0,308281344,492178080.0
43,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,3216768.0,3211264.0,24084480,403141280.0,38559744,6422528,24084480,492306080.0
44,"Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=384, bias=False)",13824,301056,301056,38536704,38535168,43352064,403141280.0,38536704,38535168,43352064,492306080.0
45,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,38542080,9633792,24084480,403141280.0,9640704,38535168,24084480,492306080.0
46,"Conv2d(384, 64, kernel_size=(1, 1), stride=(1, 1), bias=False)",98304,301056,50176,9635328,9633792,308281344,403141280.0,9635328,9633792,308281344,492306080.0
47,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",512,50176,50176,9682944,3211264,4014080,403141280.0,3260416,9633792,4014080,492306080.0
48,"Conv2d(64, 384, kernel_size=(1, 1), stride=(1, 1), bias=False)",98304,50176,301056,3211776,3211264,322932736,412775072.0,3211776,3211264,308281344,492306080.0
49,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,3309568,19267584,24084480,412775072.0,4836096.0,1624832.0,24084480,492434080.0
50,"Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=384, bias=False)",13824,301056,301056,1624832.0,1605632.0,43352064,412775072.0,19365888,3211264,43352064,492434080.0
51,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,19270656,19267584,24084480,412775072.0,19270656,19267584,24084480,492434080.0
52,"Conv2d(384, 64, kernel_size=(1, 1), stride=(1, 1), bias=False)",98304,301056,50176,19281408,19267584,308281344,412775072.0,19281408,19267584,308281344,492434080.0
53,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",512,50176,50176,19270656,19267584,4014080,412775072.0,19270656,19267584,4014080,492434080.0
54,"Conv2d(64, 384, kernel_size=(1, 1), stride=(1, 1), bias=False)",98304,50176,301056,19365888,3211264,322932736,422408864.0,3309568,19267584,308281344,492434080.0
55,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,3211776,3211264,24084480,422408864.0,3211776,3211264,24084480,492562080.0
56,"Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=384, bias=False)",13824,301056,301056,3309568,19267584,43352064,422408864.0,4836096.0,1624832.0,43352064,492562080.0
57,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,1624832.0,1605632.0,24084480,422408864.0,19365888,3211264,24084480,492562080.0
58,"Conv2d(384, 64, kernel_size=(1, 1), stride=(1, 1), bias=False)",98304,301056,50176,19270656,19267584,308281344,422408864.0,19270656,19267584,308281344,492562080.0
59,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",512,50176,50176,19281408,19267584,4014080,422408864.0,19281408,19267584,4014080,492562080.0
60,"Conv2d(64, 384, kernel_size=(1, 1), stride=(1, 1), bias=False)",98304,50176,301056,19270656,19267584,322932736,432042656.0,19270656,19267584,308281344,492562080.0
61,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,19365888,3211264,24084480,432042656.0,3309568,19267584,24084480,492690080.0
62,"Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=384, bias=False)",13824,301056,301056,3211776,3211264,43352064,432042656.0,3211776,3211264,43352064,492690080.0
63,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,3309568,19267584,24084480,432042656.0,4836096.0,1624832.0,24084480,492690080.0
64,"Conv2d(384, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",147456,301056,75264,1624832.0,1605632.0,462422016,432042656.0,19365888,3211264,462422016,492690080.0
65,"BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",768,75264,75264,19270656,19267584,6021120,432042656.0,19270656,19267584,6021120,492690080.0
66,"Conv2d(96, 576, kernel_size=(1, 1), stride=(1, 1), bias=False)",221184,75264,451584,19281408,19267584,725243904,446493344.0,19281408,19267584,693633024,492690080.0
67,"BatchNorm2d(576, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",4608,451584,451584,19270656,19267584,36126720,446493344.0,19270656,19267584,36126720,492818080.0
68,"Conv2d(576, 576, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=576, bias=False)",20736,451584,451584,19365888,3211264,65028096,446493344.0,3309568,19267584,65028096,492818080.0
69,"BatchNorm2d(576, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",4608,451584,451584,3211776,3211264,36126720,446493344.0,3211776,3211264,36126720,492818080.0
70,"Conv2d(576, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",221184,451584,75264,3309568,19267584,693633024,446493344.0,4836096.0,1624832.0,693633024,492818080.0
